B0 MSY Fmsy Bmsy BT projSpawnBio projExpBio depB0 depBmsy
90.9631 2.92295 0.0642667 45.4815 24.0947 24.7383 24.7383 0.251502 0.503004
88.6046 2.87271 0.0648433 44.3023 20.6995 21.1238 21.1238 0.27352 0.54704
89.0757 2.81559 0.0632178 44.5379 17.3533 17.4869 17.4869 0.196084 0.392169
86.2921 2.81589 0.065264 43.1461 7.30775 6.54782 6.54782 0.0795812 0.159162
84.983 2.83215 0.0666521 42.4915 1.54259 0.529511 0.529511 0.00624616 0.0124923
84.983 2.83215 0.0666521 42.4915 1.54259 0.529511 0.529511 0.00625936 0.0125187
90.3213 2.87677 0.0637009 45.1607 18.6473 18.8995 18.8995 0.18636 0.372719
92.07 2.81673 0.0611868 46.035 24.3026 24.8585 24.8585 0.290342 0.580685
95.5387 2.88145 0.06032 47.7694 28.4424 29.2192 29.2192 0.315165 0.63033
91.5509 2.8561 0.0623936 45.7754 24.7671 25.3886 25.3886 0.272113 0.544226
91.5509 2.8561 0.0623936 45.7754 24.7671 25.3886 25.3886 0.275983 0.551967
91.5281 2.90876 0.06356 45.7641 29.1519 30.0444 30.0444 0.297324 0.594648
92.7136 2.92071 0.0630049 46.3568 27.4126 28.2125 28.2125 0.319731 0.639463
92.5656 2.92079 0.0631075 46.2828 30.6926 31.6489 31.6489 0.373863 0.747727
91.2911 2.9422 0.0644576 45.6455 29.2713 30.2018 30.2018 0.332441 0.664882
86.8023 2.8889 0.0665628 43.4011 23.4275 24.0715 24.0715 0.273649 0.547298
86.4913 2.94827 0.068175 43.2456 26.7836 27.6716 27.6716 0.327089 0.654177
87.772 2.94123 0.0670198 43.886 28.0649 28.9909 28.9909 0.350127 0.700255
90.7499 2.92467 0.0644556 45.3749 28.9525 29.8611 29.8611 0.352491 0.704982
86.5147 2.94532 0.0680884 43.2573 28.5988 29.5729 29.5729 0.358289 0.716577
86.1313 2.99631 0.0695754 43.0657 29.0161 30.0605 30.0605 0.312964 0.625928
83.8003 2.98576 0.0712589 41.9002 24.2596 25.0831 25.0831 0.321737 0.643474
81.0836 3.05427 0.0753363 40.5418 29.5717 30.7693 30.7693 0.421271 0.842543
81.5855 3.09316 0.0758264 40.7927 32.8432 34.1858 34.1858 0.459156 0.918312
81.3364 3.09335 0.0760632 40.6682 32.4009 33.7334 33.7334 0.416788 0.833575
82.486 3.03293 0.073538 41.243 29.6833 30.8449 30.8449 0.36519 0.730379
81.0629 3.10934 0.0767142 40.5315 30.6859 31.9787 31.9787 0.397483 0.794966
83.4973 3.09168 0.0740546 41.7487 35.6553 37.0481 37.0481 0.430983 0.861966
85.4782 3.1587 0.0739067 42.7391 39.5351 41.043 41.043 0.512597 1.02519
82.9125 3.17509 0.0765891 41.4562 39.2291 40.762 40.762 0.484646 0.969291
85.5586 3.12245 0.0729897 42.7793 40.2116 41.6898 41.6898 0.45346 0.90692
86.366 3.01792 0.0698868 43.183 35.5952 36.8869 36.8869 0.456895 0.913789
87.7648 3.03569 0.0691779 43.8824 37.7624 39.106 39.106 0.441077 0.882155
90.6978 3.0546 0.0673577 45.3489 41.6001 43.0008 43.0008 0.460256 0.920511
91.4526 3.10043 0.0678042 45.7263 44.2867 45.751 45.751 0.483471 0.966943
90.3143 3.06975 0.0679793 45.1572 41.9046 43.3254 43.3254 0.479022 0.958044
89.8021 3.01585 0.0671667 44.901 39.4838 40.8228 40.8228 0.41776 0.83552
88.5843 3.02072 0.0682 44.2921 38.5272 39.8637 39.8637 0.406084 0.812169
86.7537 2.96001 0.0682394 43.3768 32.8448 33.9973 33.9973 0.394286 0.788572
88.784 2.97614 0.0670422 44.392 31.6051 32.7013 32.7013 0.366238 0.732476
88.784 2.97614 0.0670422 44.392 31.6051 32.7013 32.7013 0.384962 0.769925
88.2186 2.94369 0.0667362 44.1093 28.2811 29.2127 29.2127 0.321804 0.643608
91.2568 2.8868 0.0632677 45.6284 31.2971 32.266 32.266 0.374874 0.749749
88.1854 2.89226 0.0655951 44.0927 27.1453 27.9773 27.9773 0.306342 0.612684
87.2047 2.8606 0.0656067 43.6023 25.3587 26.0855 26.0855 0.295944 0.591889
87.6982 2.83357 0.064621 43.8491 22.0741 22.5759 22.5759 0.252199 0.504398
88.8541 2.86218 0.0644244 44.4271 27.0905 27.8838 27.8838 0.350852 0.701704
88.9921 2.92015 0.0656272 44.4961 31.5867 32.628 32.628 0.359832 0.719663
86.8281 2.89341 0.0666468 43.414 27.492 28.3632 28.3632 0.310557 0.621115
86.5553 2.86114 0.0661112 43.2776 23.0854 23.6907 23.6907 0.298946 0.597892
83.7502 2.8608 0.0683175 41.8751 25.5137 26.3048 26.3048 0.341605 0.683209
85.3328 2.86015 0.0670351 42.6664 25.8474 26.6301 26.6301 0.285864 0.571728
86.8083 2.89549 0.06671 43.4042 28.3593 29.2739 29.2739 0.332283 0.664565
87.1236 3.00718 0.0690325 43.5618 32.543 33.7247 33.7247 0.347996 0.695993
85.9675 2.98471 0.069438 42.9838 29.2764 30.3246 30.3246 0.374052 0.748104
85.9675 2.98471 0.069438 42.9838 29.2764 30.3246 30.3246 0.330258 0.660516
88.8663 2.92571 0.0658453 44.4332 28.6931 29.6186 29.6186 0.299443 0.598885
84.5363 2.88834 0.0683336 42.2682 12.4596 12.2784 12.2784 0.150773 0.301547
84.9673 2.91488 0.0686119 42.4836 0.319742 0.30585 0.30585 0.00349606 0.00699212
84.9673 2.91488 0.0686119 42.4836 0.319742 0.30585 0.30585 0.00394875 0.0078975
80.3831 2.8617 0.0712015 40.1916 0.314991 0.305497 0.305497 0.00337433 0.00674865
81.2748 2.76386 0.0680128 40.6374 6.54488 5.73043 5.73043 0.075362 0.150724
81.3203 2.83242 0.069661 40.6601 0.313408 0.305239 0.305239 0.00361778 0.00723556
80.1757 2.84942 0.0710794 40.0878 0.313757 0.305359 0.305359 0.00423053 0.00846106
79.6335 2.8593 0.0718114 39.8168 0.310482 0.305053 0.305053 0.00401713 0.00803426
83.5215 2.87086 0.0687453 41.7608 0.313334 0.305179 0.305179 0.00356053 0.00712105
84.0441 2.91604 0.069393 42.0221 0.31583 0.305481 0.305481 0.00378951 0.00757901
84.2223 2.88098 0.0684138 42.1112 0.318068 0.305661 0.305661 0.00341836 0.00683672
82.9138 2.94429 0.0710205 41.4569 0.31691 0.305692 0.305692 0.00375142 0.00750285
